,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2002-07-08,5.007422925294189,-52.839283895162,46.93498572422916,5.007422925294189,5.007422925294189,-4.724809895646091,-4.724809895646091,-4.724809895646091,0.0,0.0,0.0,0.0,0.0,0.0,3.9679879289003934,3.9679879289003934,3.9679879289003934,-8.692797824546485,-8.692797824546485,-8.692797824546485,0.0,0.0,0.0,0.28261302964809776
1,2002-07-09,5.051567815252694,-44.691026386730194,48.417116794143915,5.051567815252694,5.051567815252694,-4.16866422311888,-4.16866422311888,-4.16866422311888,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437130704,4.252001437130704,4.252001437130704,-8.420665660249586,-8.420665660249586,-8.420665660249586,0.0,0.0,0.0,0.8829035921338138
2,2002-07-10,5.095712705211199,-48.146356016168696,46.48749628434221,5.095712705211199,5.095712705211199,-4.460001407573647,-4.460001407573647,-4.460001407573647,0.0,0.0,0.0,0.0,0.0,0.0,3.6963373919706677,3.6963373919706677,3.6963373919706677,-8.156338799544315,-8.156338799544315,-8.156338799544315,0.0,0.0,0.0,0.6357112976375516
3,2002-07-11,5.139857595169703,-44.84679514681749,48.850922811415025,5.139857595169703,5.139857595169703,-3.5501055919407776,-3.5501055919407776,-3.5501055919407776,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156512453,4.350989156512453,4.350989156512453,-7.901094748453231,-7.901094748453231,-7.901094748453231,0.0,0.0,0.0,1.5897520032289254
4,2002-07-12,5.184002485128208,-47.18544537710016,51.68013979003824,5.184002485128208,5.184002485128208,-3.941456169067154,-3.941456169067154,-3.941456169067154,0.0,0.0,0.0,0.0,0.0,0.0,3.71417633120886,3.71417633120886,3.71417633120886,-7.655632500276016,-7.655632500276016,-7.655632500276016,0.0,0.0,0.0,1.2425463160610541
5,2002-07-15,5.316437155003722,-44.16255959197361,53.75133035883214,5.316437155003722,5.316437155003722,-3.0089348145346757,-3.0089348145346757,-3.0089348145346757,0.0,0.0,0.0,0.0,0.0,0.0,3.967987928741208,3.967987928741208,3.967987928741208,-6.976922743275884,-6.976922743275884,-6.976922743275884,0.0,0.0,0.0,2.3075023404690467
6,2002-07-16,5.360582044962228,-46.50669876735046,49.947975092942926,5.360582044962228,5.360582044962228,-2.5152898300702358,-2.5152898300702358,-2.5152898300702358,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437178981,4.252001437178981,4.252001437178981,-6.767291267249217,-6.767291267249217,-6.767291267249217,0.0,0.0,0.0,2.845292214891992
7,2002-07-17,5.404726934920732,-46.77068328763094,47.20753452409779,5.404726934920732,5.404726934920732,-2.867433060415018,-2.867433060415018,-2.867433060415018,0.0,0.0,0.0,0.0,0.0,0.0,3.696337392059033,3.696337392059033,3.696337392059033,-6.563770452474051,-6.563770452474051,-6.563770452474051,0.0,0.0,0.0,2.537293874505714
8,2002-07-18,5.4488718248792365,-47.01551040195138,51.208009552748265,5.4488718248792365,5.4488718248792365,-2.013713145842559,-2.013713145842559,-2.013713145842559,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156481231,4.350989156481231,4.350989156481231,-6.364702302323788,-6.364702302323788,-6.364702302323788,0.0,0.0,0.0,3.4351586790366775
9,2002-07-19,5.493016714837742,-48.008022650176436,51.487574330221996,5.493016714837742,5.493016714837742,-2.4541605969111844,-2.4541605969111844,-2.4541605969111844,0.0,0.0,0.0,0.0,0.0,0.0,3.7141763315036824,3.7141763315036824,3.7141763315036824,-6.168336928414866,-6.168336928414866,-6.168336928414866,0.0,0.0,0.0,3.0388561179265574
10,2002-07-22,5.625451384713256,-44.61783943990071,53.34477771397757,5.625451384713256,5.625451384713256,-1.6106900891210005,-1.6106900891210005,-1.6106900891210005,0.0,0.0,0.0,0.0,0.0,0.0,3.967987928755784,3.967987928755784,3.967987928755784,-5.578678017876784,-5.578678017876784,-5.578678017876784,0.0,0.0,0.0,4.014761295592256
11,2002-07-23,5.669596274671761,-44.74216954038912,51.708484052628734,5.669596274671761,5.669596274671761,-1.1252437145602177,-1.1252437145602177,-1.1252437145602177,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437155223,4.252001437155223,4.252001437155223,-5.377245151715442,-5.377245151715442,-5.377245151715442,0.0,0.0,0.0,4.544352560111544
12,2002-07-24,5.713741164630266,-43.557875929210304,55.216655284272605,5.713741164630266,5.713741164630266,-1.475430962439231,-1.475430962439231,-1.475430962439231,0.0,0.0,0.0,0.0,0.0,0.0,3.6963373920702987,3.6963373920702987,3.6963373920702987,-5.171768354509529,-5.171768354509529,-5.171768354509529,0.0,0.0,0.0,4.238310202191035
13,2002-07-25,5.75788605458877,-44.46347696206175,55.181450639774134,5.75788605458877,5.75788605458877,-0.6108826225799655,-0.6108826225799655,-0.6108826225799655,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156532428,4.350989156532428,4.350989156532428,-4.961871779112394,-4.961871779112394,-4.961871779112394,0.0,0.0,0.0,5.1470034320088045
14,2002-07-26,5.802030944547275,-46.17173655684451,52.393286045461736,5.802030944547275,5.802030944547275,-1.0334600540200132,-1.0334600540200132,-1.0334600540200132,0.0,0.0,0.0,0.0,0.0,0.0,3.7141763314208696,3.7141763314208696,3.7141763314208696,-4.7476363854408845,-4.7476363854408845,-4.7476363854408845,0.0,0.0,0.0,4.768570890527262
15,2002-07-29,5.934465614422789,-42.14770887045068,56.68059120351208,5.934465614422789,5.934465614422789,-0.11893288166183248,-0.11893288166183248,-0.11893288166183248,0.0,0.0,0.0,0.0,0.0,0.0,3.9679879288391455,3.9679879288391455,3.9679879288391455,-4.086920810500977,-4.086920810500977,-4.086920810500977,0.0,0.0,0.0,5.815532732760957
16,2002-07-30,5.978610504381295,-39.68540760212997,51.95194487494515,5.978610504381295,5.978610504381295,0.38630114620540146,0.38630114620540146,0.38630114620540146,0.0,0.0,0.0,0.0,0.0,0.0,4.2520014370816925,4.2520014370816925,4.2520014370816925,-3.86570029087629,-3.86570029087629,-3.86570029087629,0.0,0.0,0.0,6.364911650586696
