,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints Day,All Saints Day_lower,All Saints Day_upper,All Souls Day,All Souls Day_lower,All Souls Day_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Day of Ashura,Day of Ashura_lower,Day of Ashura_upper,Diwali,Diwali_lower,Diwali_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Feast of Holy Family,Feast of Holy Family_lower,Feast of Holy Family_upper,Feast of Pentecost,Feast of Pentecost_lower,Feast of Pentecost_upper,Feast of the Blessed Virgin,Feast of the Blessed Virgin_lower,Feast of the Blessed Virgin_upper,Feast of the Sacrifice,Feast of the Sacrifice_lower,Feast of the Sacrifice_upper,Fest of St. Theresa of Calcutta,Fest of St. Theresa of Calcutta_lower,Fest of St. Theresa of Calcutta_upper,Gandhi Jayanti,Gandhi Jayanti_lower,Gandhi Jayanti_upper,Good Friday,Good Friday_lower,Good Friday_upper,Holi,Holi_lower,Holi_upper,Independence Day,Independence Day_lower,Independence Day_upper,Maundy Thursday,Maundy Thursday_lower,Maundy Thursday_upper,Mawlid,Mawlid_lower,Mawlid_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Palm Sunday,Palm Sunday_lower,Palm Sunday_upper,Republic Day,Republic Day_lower,Republic Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1996-01-01,-28.359794700000002,-28.86026943492249,73.0103028736713,-28.359794700000002,-28.359794700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7832498200000004,-2.7832498200000004,-2.7832498200000004,0.0,0.0,0.0,0.0,0.0,0.0,49.80432596899899,49.80432596899899,49.80432596899899,-2.7832498200000004,-2.7832498200000004,-2.7832498200000004,0.0,0.0,0.0,45.18490775126685,45.18490775126685,45.18490775126685,7.40266803773215,7.40266803773215,7.40266803773215,0.0,0.0,0.0,21.444531268998986
1,1996-01-02,-28.3610005817617,-33.73016961542644,77.70548552673523,-28.3610005817617,-28.3610005817617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38724242462502,52.38724242462502,52.38724242462502,0.0,0.0,0.0,0.0,0.0,0.0,44.93285398293526,44.93285398293526,44.93285398293526,7.454388441689764,7.454388441689764,7.454388441689764,0.0,0.0,0.0,24.02624184286332
2,1996-01-03,-28.3622064635234,-31.295029545472097,76.97315519547725,-28.3622064635234,-28.3622064635234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.31716907899227,52.31716907899227,52.31716907899227,0.0,0.0,0.0,0.0,0.0,0.0,44.82720791635714,44.82720791635714,44.82720791635714,7.489961162635136,7.489961162635136,7.489961162635136,0.0,0.0,0.0,23.954962615468872
3,1996-01-04,-28.3634123452851,-30.738225106273077,77.22178614854026,-28.3634123452851,-28.3634123452851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.68160660252493,52.68160660252493,52.68160660252493,0.0,0.0,0.0,0.0,0.0,0.0,45.17479845000264,45.17479845000264,45.17479845000264,7.506808152522284,7.506808152522284,7.506808152522284,0.0,0.0,0.0,24.31819425723983
4,1996-01-05,-28.3646182270468,-29.290805580165785,76.89434288687794,-28.3646182270468,-28.3646182270468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.341475997319435,52.341475997319435,52.341475997319435,0.0,0.0,0.0,0.0,0.0,0.0,44.83859602448327,44.83859602448327,44.83859602448327,7.5028799728361655,7.5028799728361655,7.5028799728361655,0.0,0.0,0.0,23.976857770272634
5,1996-01-08,-28.368235872331898,-31.037351381467193,78.32820713072954,-28.368235872331898,-28.368235872331898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.53962538252047,52.53962538252047,52.53962538252047,0.0,0.0,0.0,0.0,0.0,0.0,45.184907751224635,45.184907751224635,45.184907751224635,7.354717631295837,7.354717631295837,7.354717631295837,0.0,0.0,0.0,24.171389510188572
6,1996-01-09,-28.369441754093597,-26.066288620919618,74.69266985754962,-28.369441754093597,-28.369441754093597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.19186436128627,52.19186436128627,52.19186436128627,0.0,0.0,0.0,0.0,0.0,0.0,44.93285398296374,44.93285398296374,44.93285398296374,7.25901037832253,7.25901037832253,7.25901037832253,0.0,0.0,0.0,23.822422607192674
7,1996-01-10,-28.3706476358553,-25.530594677520288,74.80659062096419,-28.3706476358553,-28.3706476358553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.96842971332853,51.96842971332853,51.96842971332853,0.0,0.0,0.0,0.0,0.0,0.0,44.82720791620834,44.82720791620834,44.82720791620834,7.1412217971202,7.1412217971202,7.1412217971202,0.0,0.0,0.0,23.597782077473234
8,1996-01-11,-28.371853517616998,-25.692032351956787,71.89950933312599,-28.371853517616998,-28.371853517616998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.177647838835966,52.177647838835966,52.177647838835966,0.0,0.0,0.0,0.0,0.0,0.0,45.1747984499887,45.1747984499887,45.1747984499887,7.002849388847255,7.002849388847255,7.002849388847255,0.0,0.0,0.0,23.80579432121897
9,1996-01-12,-28.373059399378693,-25.783054230677237,78.91366351378639,-28.373059399378693,-28.373059399378693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68448862790215,51.68448862790215,51.68448862790215,0.0,0.0,0.0,0.0,0.0,0.0,44.83859602436438,44.83859602436438,44.83859602436438,6.845892603537776,6.845892603537776,6.845892603537776,0.0,0.0,0.0,23.311429228523455
